what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316111754103
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316112063348
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316112099741
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316112180282
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316112237802
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316112274108
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316112360413
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316112361654
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316112459777
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316112467781
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1316112490461
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1316112490764
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1316112490996
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1316112491263
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1316112492674
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1316112493480
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316112522219
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316112524919
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1316112527673
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1316112527932
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1316112545679
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1316112545912
